idiom,lang,meaning
低き所に水溜まる,jp,
引くに引けない,jp,
日暮れて途遠し,jp,
引けを取る,jp,
卑下も自慢のうち,jp,
庇を貸して母屋を取られる,jp,
膝が抜ける,jp,
膝が笑う,jp,
膝っ子に目薬,jp,
膝とも談合,jp,
膝を打つ,jp,
膝を折る,jp,
膝を崩す,jp,
膝を屈する,jp,
膝を進める,jp,
膝を正す,jp,
膝を乗り出す,jp,
膝を交える,jp,
肘鉄砲を食う,jp,
秘事は睫,jp,
ひそかに諌めて公に褒めよ,jp,
顰みに倣う,jp,
顰に倣う,jp,
額に汗する,jp,
額に皺を寄せる,jp,
額に八の字を寄せる,jp,
額を集める,jp,
左団扇,jp,
左褄を取る,jp,
左は勝手、右は得手,jp,
左鮃右鰈,jp,
左前,jp,
ひだるい時にまずい物なし,jp,
引っ越し三両,jp,
引っ越し貧乏,jp,
ひっちゃかめっちゃか,jp,
匹夫罪なし璧を懐いて罪あり,jp,
匹夫の勇,jp,
匹夫も志を奪うべからず,jp,
羊をして狼に将たらしむ,jp,
羊を以て牛に易う,jp,
筆舌に尽くし難い,jp,
必要の前に法律なし,jp,
必要は発明の母,jp,
旱に雨,jp,
人、木石に非ず,jp,
人当たりがいい,jp,
人ある中に人なし,jp,
一泡吹かせる,jp,
一息入れる,jp,
人一寸,jp,
人衆ければ則ち狼を食らう,jp,
人衆ければ天に勝つ,jp,
人が変わる,jp,
人が悪い,jp,
人聞きが悪い,jp,
人食い馬にも合い口,jp,
人屑と縄屑は余らぬ,jp,
一癖も二癖もある,jp,
一口に言う,jp,
一口乗る,jp,
一口物に頬焼く,jp,
人肥えたるが故に貴からず,jp,
人こそ人の鏡,jp,
一言多い,jp,
人事言えば影が差す,jp,
人事言わば筵敷け,jp,
人盛んにして神祟らず,jp,
人酒を飲む、酒酒を飲む、酒人を飲む,jp,
一芝居打つ,jp,
一筋縄では行かない,jp,
一筋の矢は折るべし十筋の矢は折り難し,jp,
一つ穴の貉,jp,
一つ余って大津へ戻る,jp,
一つ鏡に二つ顔,jp,
一つ釜の飯を食う,jp,
一つ事は同じ事,jp,
一粒の麦,jp,
一つ間違えば,jp,
一つ屋根の下に住む,jp,
一つよければまた二つ,jp,
人と入れ物は有り合わせ,jp,
一時違えば三里の遅れ,jp,
人と煙草の良し悪しは煙になって後の世に出る,jp,
人と屏風は直ぐには立たぬ,jp,
人通りに草生えず,jp,
人に勝たんと欲する者は必ず先ず自ら勝つ,jp,
人に七癖、我が身に八癖,jp,
人には飽かぬが病に飽く,jp,
人には添うてみよ馬には乗ってみよ,jp,
人に一癖,jp,
人に施しては慎みて念うこと勿れ,jp,
人の過ち我が幸せ,jp,
人の意見は四十まで,jp,
人の痛いのは三年でも辛抱する,jp,
人の一生は重荷を負うて遠き道を行くが如し,jp,
人の一寸、我が一尺,jp,
人の初事は咎めぬもの,jp,
人の噓は我が嘘,jp,
人の生まるるや憂いと倶に生まる,jp,
人の噂は倍になる,jp,
人の噂も七十五日,jp,
人の踊る時は踊れ,jp,
人の口に戸は立てられぬ,jp,
人の苦楽は壁一重,jp,
人の心は面の如し,jp,
人の心は九分十分,jp,
人の事は我の事,jp,
人の事より我が事,jp,
人の子の死んだより我が子の転けた,jp,
人の牛蒡で法事する,jp,
人の七難より我が十難,jp,
人の十難より我が一難,jp,
人の疝気を頭痛に病む,jp,
人の空言は我が空言,jp,
人の宝を数える,jp,
人の棚卸しをする,jp,
人の頼まぬ経を読む,jp,
人の情けは世にある時,jp,
人の女房と枯れ木の枝ぶり,jp,
人の蠅を追うより己の蠅を追え,jp,
人の花は赤い,jp,
人のふり見て我がふり直せ,jp,
人の褌で相撲を取る,jp,
人の将に死なんとするその言や善し,jp,
人の物より自分の物,jp,
人は石垣人は城,jp,
人は一代、名は末代,jp,
人は落ち目が大事,jp,
人は陰が大事,jp,
人は堯舜にあらず、何ぞ事事によく善を尽くさん,jp,
人はしれぬもの,jp,
人は善悪の友による,jp,
一旗揚げる,jp,
人は足るを知らざるを苦しむ,jp,
一肌脱ぐ,jp,
人は万物の尺度なり,jp,
人はパンのみにて生くるにあらず,jp,
人は見かけによらぬもの,jp,
人は見目よりただ心,jp,
人は病の器,jp,
人は悪かれ我善かれ,jp,
人一盛り,jp,
瞳を凝らす,jp,
人目に余る,jp,
人目に立つ,jp,
人目を忍ぶ,jp,
人目を盗む,jp,
人目を憚る,jp,
人目を引く,jp,
一役買う,jp,
一山当てる,jp,
一人口は食えぬが二人口は食える,jp,
独り自慢の褒め手なし,jp,
一人相撲を取る,jp,
一人の文殊より三人のたくらだ,jp,
一人娘と春の日はくれそうでくれぬ,jp,
人を射んとせば先ず馬を射よ,jp,
人を怨むより身を怨め,jp,
人を思うは身を思う、人を憎むは身を憎む,jp,
人を食う,jp,
人を知る者は智なり、自ら知る者は明なり,jp,
人を謗るは鴨の味,jp,
人を叩いた夜は寝られぬ,jp,
人を恃むは自ら恃むに如かず,jp,
人を使うは苦を使う,jp,
人を使うは使わるる,jp,
人を呪わば穴二つ,jp,
人を見たら泥棒と思え,jp,
人を見て法を説け,jp,
人を以て鑑と為す,jp,
人を以て言を廃せず,jp,
火に油を注ぐ,jp,
髀肉の嘆,jp,
日に就り、月に将む,jp,
火の消えたよう,jp,
火の車,jp,
火の手が上がる,jp,
陽の照っているうちに干し草を作れ,jp,
日の出の勢い,jp,
火のない所に煙は立たぬ,jp,
日の目を見る,jp,
日の下に新しきものなし,jp,
火は火で治まる,jp,
火は火で消えぬ,jp,
火は火元から騒ぎ出す,jp,
火花を散らす,jp,
雲雀の口に鳴子,jp,
火蓋を切る,jp,
暇に飽かす,jp,
暇ほど毒なものはない,jp,
暇を出す,jp,
暇を潰す,jp,
暇を取る,jp,
暇を盗む,jp,
悲鳴を上げる,jp,
ひもじい時にまずい物なし,jp,
火元は七代祟る,jp,
百害あって一利なし,jp,
百菊作るに因って花変ず,jp,
百芸は一芸の精しきに如かず,jp,
百歳の後,jp,
百歳の童、七歳の翁,jp,
百尺竿頭一歩を進む,jp,
百姓の泣き言と医者の手柄話,jp,
百姓百層倍,jp,
百丈の木に登って一丈の枝より落つる,jp,
百川、海に朝す,jp,
百戦百勝は善の善なる者に非ず,jp,
百日の説法、屁一つ,jp,
百日の労、一日の楽,jp,
百年河清を俟つ,jp,
百年の不作,jp,
百年論定まる,jp,
百聞は一見に如かず,jp,
百も承知、二百も合点,jp,
百薬の長,jp,
百里来た道は百里帰る,jp,
百里を行く者は九十里を半ばとす,jp,
冷や汗をかく,jp,
冷や酒と親の意見は後で利く,jp,
冷や水を浴びせる,jp,
冷や飯を食う,jp,
氷山の一角,jp,
平仄が合わない,jp,
氷炭相愛す,jp,
氷炭相容れず,jp,
瓢箪から駒が出る,jp,
瓢箪で鯰を押さえる,jp,
瓢箪に釣り鐘,jp,
瓢箪の川流れ,jp,
豹は死して皮を留め人は死して名を留む,jp,
豹変,jp,
平たく言えば,jp,
非力十倍、欲力五倍,jp,
放り出しの嗅ぎ出し,jp,
広い世間を狭くする,jp,
火を避けて水に陥る,jp,
火を付ける,jp,
火を通す,jp,
火を見たら火事と思え,jp,
火を見るより明らか,jp,
火を以て火を救う,jp,
牝鶏晨す,jp,
顰蹙を買う,jp,
貧者の一灯,jp,
貧すれば鈍する,jp,
貧にして楽しむ,jp,
貧の盗みに恋の歌,jp,
貧の楽は寝楽,jp,
貧は諸道の妨げ,jp,
貧ほど辛いものはなし,jp,
不意打ちを食う,jp,
布衣の交わり,jp,
風雲急を告げる,jp,
富貴天に在り,jp,
富貴には他人集まり、貧賤には親戚も離る,jp,
富貴は浮雲の如し,jp,
風采が上がらない,jp,
風樹の歎,jp,
風雪に耐える,jp,
風前の灯火,jp,
風前の灯,jp,
風馬牛,jp,
夫婦喧嘩は犬も食わない,jp,
夫婦喧嘩は寝て直る,jp,
夫婦喧嘩は貧乏の種蒔き,jp,
夫婦喧嘩もないから起こる,jp,
夫婦の契りを結ぶ,jp,
夫婦は合わせ物離れ物,jp,
夫婦はいとこほど似る,jp,
夫婦は二世,jp,
風流は寒いもの,jp,
フェニックス,jp,
斧鉞を加える,jp,
笛吹けども踊らず,jp,
深い川は静かに流れる,jp,
不覚を取る,jp,
不可能という言葉は我が辞書にはない,jp,
不帰の客となる,jp,
不興を買う,jp,
俯仰、天地に愧じず,jp,
吹く風枝を鳴らさず,jp,
覆車の戒め,jp,
覆水、盆に返らず,jp,
伏線を張る,jp,
含む所がある,jp,
袋の中の鼠,jp,
袋の鼠,jp,
河豚食う馬鹿、食わぬ馬鹿,jp,
河豚にも中れば鯛にも中る,jp,
河豚は食いたし命は惜しし,jp,
吹けば飛ぶよう,jp,
不幸中の幸い,jp,
塞ぎの虫,jp,
巫山の夢,jp,
不肖,jp,
浮生夢の如し,jp,
符節を合するが如し,jp,
布施ない経に袈裟を落とす,jp,
不足奉公は双方の損,jp,
二つに一つ,jp,
二つ返事で,jp,
二つよいことはない,jp,
二人口は過ごせるが一人口は過ごせぬ,jp,
蓋を開ける,jp,
釜中の魚,jp,
普天の下、率土の浜,jp,
筆が立つ,jp,
筆に任せる,jp,
筆を入れる,jp,
筆を擱く,jp,
筆を起こす,jp,
筆を折る,jp,
筆を加える,jp,
筆を染める,jp,
筆を執る,jp,
筆を揮う,jp,
太く短く,jp,
懐が暖かい,jp,
懐が寂しい,jp,
懐が寒い,jp,
懐が深い,jp,
懐を痛める,jp,
懐を肥やす,jp,
船盗人を徒歩で追う,jp,
鮒の仲間には鮒が王,jp,
腑に落ちない,jp,
舟に刻みて剣を求む,jp,
舟は船頭に任せよ,jp,
船は帆でもつ、帆は船でもつ,jp,
舟は帆任せ、帆は風任せ,jp,
不発に終わる,jp,
不評を買う,jp,
不平を鳴らす,jp,
父母の恩は山よりも高く海よりも深し,jp,
踏み台にする,jp,
文は遣りたし書く手は持たず,jp,
冬編笠に夏頭巾,jp,
蜉蝣の一期,jp,
冬来りなば春遠からじ,jp,
冬の雪売り,jp,
不用の用,jp,
降らぬ先の傘,jp,
振られて帰る果報者,jp,
降りかかる火の粉は払わねばならぬ,jp,
振り出しに戻る,jp,
降りみ降らずみ,jp,
古い友達と古い葡萄酒に勝るものなし,jp,
古川に水絶えず,jp,
古傷は痛み易い,jp,
古木に手を掛くるな、若木に腰掛くるな,jp,
故きを温ねて新しきを知る,jp,
降れば必ず土砂降り,jp,
風呂と客は立ったが良い,jp,
不惑,jp,
噴火山の上で踊る,jp,
糞が出たが別が出ない,jp,
刎頚の交わり,jp,
踏んだり蹴ったり,jp,
分別過ぐれば愚に返る,jp,
分別の上の分別,jp,
平気の平左,jp,
平家を滅ぼすは平家,jp,
平地に波瀾を起こす,jp,
兵強ければ則ち滅ぶ,jp,
丙丁に付す,jp,
兵は詭道,jp,
兵は神速を貴ぶ,jp,
弊履を棄つるが如し,jp,
兵を挙げる,jp,
臍が茶を沸かす,jp,
臍繰り,jp,
臍で茶を沸かす,jp,
臍を曲げる,jp,
下手があるので上手が知れる,jp,
下手が却って上手,jp,
下手すると,jp,
下手な鉄砲も数撃ちゃ当たる,jp,
下手の射る矢,jp,
下手の考え休むに似たり,jp,
下手の長糸、上手の小糸,jp,
下手の道具調べ,jp,
下手の長談義,jp,
下手の真ん中、上手の縁矢,jp,
下手の横好き,jp,
下手をすると,jp,
糸瓜の皮とも思わない,jp,
屁と火事は元から騒ぐ,jp,
屁とも思わない,jp,
反吐が出る,jp,
屁の河童,jp,
蛇に噛まれて朽ち縄に怖じる,jp,
蛇に睨まれた蛙,jp,
蛇に見込まれた蛙,jp,
蛇の生殺し,jp,
減らず口を叩く,jp,
減らぬものなら金百両、死なぬものなら子は一人,jp,
箆増しは果報持ち,jp,
屁を放って尻窄める,jp,
辺幅を飾る,jp,
片鱗を示す,jp,
浮いた噂,jp,
有為転変は世の習い,jp,
憂いも辛いも食うての上,jp,
植木屋の庭できが多い,jp,
植木屋の庭で気が多い,jp,
飢えたる犬は棒を恐れず,jp,
飢えたる時は食を択ばず,jp,
飢えては食を択ばず,jp,
上に立つ,jp,
上には上がある,jp,
上見ぬ鷲,jp,
上を下へ,jp,
上を下への大騒ぎ,jp,
上を見れば方図がない,jp,
ウエートを置く,jp,
魚心あれば水心,jp,
魚と水,jp,
魚の木に登るが如し,jp,
魚の釜中に遊ぶが如し,jp,
魚の水に離れたよう,jp,
魚の水を得たよう,jp,
魚の目に水見えず,jp,
魚は鯛,jp,
魚を得て筌を忘る,jp,
うかうか三十きょろきょろ四十,jp,
伺いを立てる,jp,
浮かぬ顔,jp,
浮かぶ瀬,jp,
浮かぶ瀬がない,jp,
浮き足立つ,jp,
浮き沈み七度,jp,
浮き名を流す,jp,
浮き彫りにする,jp,
憂き身をやつす,jp,
憂き目に遭う,jp,
憂き目を見る,jp,
浮世の風,jp,
浮世は衣装七分,jp,
浮世は回り持ち,jp,
浮世は夢,jp,
浮世渡らば豆腐で渡れ,jp,
鶯鳴かせたこともある,jp,
受けがいい,jp,
受けて立つ,jp,
有卦に入る,jp,
受けに回る,jp,
烏合の衆,jp,
動きが取れない,jp,
雨後の筍,jp,
兎の罠に狐がかかる,jp,
兎も七日なぶれば噛みつく,jp,
兎を見て犬を呼ぶ,jp,
憂さを晴らす,jp,
牛に対して琴を弾ず,jp,
牛に引かれて善光寺参り,jp,
牛の歩み,jp,
牛の一散,jp,
牛の角突き合い,jp,
牛の角を蜂が刺す,jp,
丑の時参り,jp,
牛の涎,jp,
牛は牛連れ、馬は馬連れ,jp,
牛も千里馬も千里,jp,
羽觴を飛ばす,jp,
後ろ髪を引かれる,jp,
後ろ千両前一文,jp,
後ろに柱前に酒,jp,
後ろに目なし,jp,
後ろ弁天、前不動,jp,
後ろ指を指される,jp,
後ろを見せる,jp,
牛を馬に乗り換える,jp,
牛を食らうの気,jp,
氏なくして玉の輿,jp,
烏鵲の智,jp,
氏より育ち,jp,
臼から杵,jp,
薄皮の剝けたよう,jp,
薄紙を剝ぐよう,jp,
薄気味が悪い,jp,
薄気味悪い,jp,
渦に巻き込まれる,jp,
渦を巻く,jp,
嘘から出た実,jp,
嘘つきは泥棒の始まり,jp,
嘘で固める,jp,
嘘にも種が要る,jp,
嘘八百,jp,
嘘八百を並べる,jp,
嘘も方便,jp,
嘘を言え,jp,
嘘をつくと閻魔様に舌を抜かれる,jp,
嘘をつけ,jp,
疑いを挟む,jp,
疑わしきは罰せず,jp,
打たねば鳴らぬ,jp,
歌は世につれ世は歌につれ,jp,
歌物語の歌忘れ,jp,
打たれても親の杖,jp,
うだつが上がらない,jp,
うだつが上がらぬ,jp,
内兜を見透かす,jp,
内で掃除せぬ馬は外で毛を振る,jp,
内に省みて疚しからず,jp,
家の前の痩せ犬,jp,
内裸でも外錦,jp,
内弁慶,jp,
内弁慶外すばり,jp,
内孫より外孫,jp,
有頂天,jp,
うっちゃりを食う,jp,
打って一丸となる,jp,
打って出る,jp,
鬱憤を晴らす,jp,
美しい花には棘がある,jp,
現を抜かす,jp,
打つも撫でるも親の恩,jp,
移れば変わる世の習い,jp,
打てば響く,jp,
腕が上がる,jp,
腕が利く,jp,
腕が立つ,jp,
腕が鳴る,jp,
腕に覚えがある,jp,
腕に縒りを掛ける,jp,
腕を拱く,jp,
腕を鳴らす,jp,
腕を振るう,jp,
腕を揮う,jp,
腕を磨く,jp,
独活の大木,jp,
優曇華の花,jp,
鰻の寝床,jp,
鰻登り,jp,
唸るほど,jp,
自惚れと瘡気のない者はない,jp,
兎の毛で突いたほど,jp,
鵜の真似をする烏,jp,
鵜呑みにする,jp,
鵜の目鷹の目,jp,
産声を上げる,jp,
産屋の風邪は一生つく,jp,
旨い事は二度考えよ,jp,
旨い汁を吸う,jp,
旨い物食わす人に油断すな,jp,
旨い物は小人数,jp,
旨い物は宵に食え,jp,
馬が合う,jp,
うまくいったらお慰み,jp,
倦まず撓まず,jp,
倦まず弛まず,jp,
馬に乗るまでは牛に乗れ,jp,
馬には乗ってみよ人には添うてみよ,jp,
馬の足,jp,
馬の背を分ける,jp,
馬の骨,jp,
馬の前に車をつけるな,jp,
馬の耳に風,jp,
馬の耳に念仏,jp,
馬も買わずに鞍買う,jp,
馬持たずに馬貸すな,jp,
生まれたあとの早め薬,jp,
生まれながらの長老なし,jp,
生まれる前の襁褓定め,jp,
馬を牛に乗り換える,jp,
馬を鹿,jp,
馬を水辺につれていけても水を飲ませることはできない,jp,
海魚腹から川魚背から,jp,
海に千年山に千年,jp,
生みの親より育ての親,jp,
生みの苦しみ,jp,
産みの苦しみ,jp,
海の事は漁師に問え,jp,
海の物とも山の物ともつかぬ,jp,
膿を出す,jp,
有無相通じる,jp,
有無を言わせず,jp,
有無を言わせぬ,jp,
梅一輪一輪ずつの暖かさ,jp,
梅に鶯,jp,
埋もれ木に花咲く,jp,
烏有に帰す,jp,
裏表がない,jp,
裏で糸を引く,jp,
裏には裏がある,jp,
裏に回る,jp,
裏の裏を行く,jp,
裏へ回る,jp,
恨み骨髄に入る,jp,
恨み骨髄に徹す,jp,
怨みに報ゆるに徳を以てす,jp,
怨みほど恩を思え,jp,
恨みを買う,jp,
恨みを飲む,jp,
恨みを呑む,jp,
裏目に出る,jp,
売られた喧嘩は買わねばならぬ,jp,
裏を返せば,jp,
裏をかく,jp,
裏を取る,jp,
売家と唐様で書く三代目,jp,
売り言葉に買い言葉,jp,
瓜に爪あり爪に爪なし,jp,
瓜の皮は大名に剝かせよ、柿の皮は乞食に剝かせよ,jp,
瓜の蔓に茄子は生らぬ,jp,
瓜二つ,jp,
売り物には花を飾れ,jp,
漆は剝げても生地は剝げぬ,jp,
憂いを掃う玉箒,jp,
嬉しい悲鳴,jp,
烏鷺の争い,jp,
胡乱の沙汰,jp,
浮気と乞食はやめられぬ,jp,
噂は遠くから,jp,
噂をすれば影,jp,
噂をすれば影がさす,jp,
噂をすれば影が差す,jp,
上手に出る,jp,
上手を行く,jp,
上前を撥ねる,jp,
運が開ける,jp,
運が向く,jp,
運根鈍,jp,
生んだ子より抱いた子,jp,
蘊蓄を傾ける,jp,
雲泥の差,jp,
うんともすんとも,jp,
運は天にあり,jp,
運は寝て待て,jp,
運用の妙は一心に存す,jp,
運を天に任せる,jp,
運を待つは死を待つに等し,jp,
法あっての寺寺あっての法,jp,
方位家の家潰し,jp,
砲火を交える,jp,
法三章,jp,
法師の戦話,jp,
褒姒の一笑国を傾く,jp,
